! recon from cosy with Q2 +20%
 -----------------------------------------------------------------------
  0.251649427     0.224448304E-01-0.550011410E-02 0.165088970     10000
  -2.26220599    -0.201768112     0.494433514E-01 0.942655654     01000
 -0.953231020E-02 -1.99725442     0.649918684    -0.874151921E-02 00100
  0.138021088      22.5787637     -7.84795378     0.126093166     00010
  0.929386147     0.604354492E-01-0.148933542E-01 0.610688568     00001
 -0.159284987    -0.120610942E-01 0.316810367E-02-0.108855253     20000
  0.449611982     0.330644913E-01-0.879945755E-02 0.703209093     11000
   8.78501914     0.673406147    -0.175927490      8.20151047     02000
  0.157921583E-01  1.35217970    -0.349127354     0.897970880E-02 10100
 -0.368405137E-01  6.96996495     -1.71933529    -0.564345372E-01 01100
 -0.159649615E-02-0.720780186E-01 0.185092115E-01 0.484138594E-02 00200
 -0.222397650     -18.2820119      4.58274689    -0.124372633     10010
  0.462786940     -110.839662      28.1169181     0.752559488     01010
  0.146087748      2.06046992    -0.524459605    -0.471997043E-01 00110
  -1.37870638    -0.920396856E-01 0.239482098E-01-0.690078253     10001
  0.625256437     0.115695240    -0.319486399E-01  3.24184005     01001
  0.697184664E-01  5.03047334     -1.29188625     0.270686717E-01 00101
  -1.17522164     -14.6707447      3.70081442     0.532128832     00020
 -0.999231625     -70.6165772      17.8172121    -0.383776832     00011
  -2.95873165    -0.178844084     0.460737000E-01 -1.07409091     00002
  0.310933269     0.205465092E-01-0.521968146E-02 0.181730479     30000
  -3.38291613    -0.215583195     0.520375543E-01 -2.68213898     21000
   8.38920255     0.339646136    -0.479045902E-01  10.0477363     12000
  -27.3113330    -0.509550703     0.489295252E-02  7.17375474     03000
 -0.467362935E-01 -2.34460609     0.592788559    -0.236803929E-01 20100
  0.390348668      20.5887664     -4.85605865     0.250460802     11100
 -0.691459949     -24.3164005      4.92206706    -0.669238912     02100
  0.712194371     0.220629748    -0.567091100E-01 0.532258339     10200
  -6.38408703     -1.20206455     0.295701909     -4.77327981     01200
 -0.232942991E-01 -2.62159310     0.653504981    -0.142347165E-01 00300
  0.646983107      32.7506580     -8.25498729     0.327976034     20010
  -5.19149542     -293.301511      69.6404587     -3.38512055     11010
   8.52730138      445.929042     -103.534318      8.84479306     02010
  -19.1370292     -6.12630761      1.57084600     -14.6574315     10110
   170.286528      32.5789286     -7.98023190      130.681942     01110
  0.970413854      111.909437     -27.9394794     0.603532734     00210
   3.71088411     0.226463025    -0.568354324E-01  1.81194992     20001
  -25.1800550     -1.44654917     0.338944821     -16.5817678     11001
   36.2202395      1.39105613    -0.189268438      40.8211936     02001
 -0.372383483     -14.2829715      3.61018373    -0.167457181     10101
   1.48574335      63.3754333     -14.8169262     0.822311942     01101
   2.80563483     0.730645482    -0.186649055      1.59711027     00201
   129.232842      42.5554715     -10.8844544      101.319814     10020
  -1147.37294     -221.254384      53.9733480     -901.155506     01020
  -13.4132831     -1583.68346      395.004261     -8.47541037     00120
   5.18203214      200.440815     -50.5965136      2.32639500     10011
  -19.7019436     -886.632021      208.562969     -11.0605880     01011
  -74.8639080     -20.4506312      5.21823550     -43.2666445     00111
   14.9996291     0.866858513    -0.215159197      6.59673313     10002
  -51.4349964     -2.72682091     0.622897697     -29.1383413     01002
 -0.739786238     -24.7571679      6.16533811    -0.309877772     00102
   61.6685494      7449.20756     -1854.45414      39.5698560     00030
   502.178334      143.285835     -36.5158796      295.052178     00021
   10.3859845      351.942363     -87.9610232      4.33503072     00012
   20.4518593      1.13807042    -0.280386065      8.46374501     00003
 -0.637737085    -0.405752165E-01 0.102915982E-01-0.333442688     40000
   8.92054927     0.574421630    -0.143815930      5.66257257     31000
  -24.1286316     -1.72432715     0.429005975     -25.8837528     22000
  -89.6420979     -3.46901759     0.651257581     -13.7079519     13000
   434.340396      17.8337340     -3.15672315      303.549405     04000
  0.129063873      3.23588503    -0.829943978     0.629869538E-01 30100
  -1.44234746     -35.0953985      8.76425659    -0.831399362     21100
   2.68065089      9.06700812     -1.76245857      2.63468932     12100
   7.61965355      381.819601     -85.9982491     0.584295014     03100
  -1.83927585    -0.545278778     0.140540986     -1.02512260     20200
   13.9749064      4.49051484     -1.13646696      10.0375664     11200
   22.6759470     -2.14356808     0.486193657     -7.53379330     02200
  0.157201835      6.26152413     -1.64124285     0.793771144E-01 10300
 -0.709593508     -33.2235412      8.31112825    -0.400941550     01300
 -0.608745401E-02-0.211890349     0.562184810E-01-0.414796079E-02 00400
  -1.79069708     -44.6817513      11.4100421    -0.872907452     30010
   19.6388294      472.867448     -117.346553      11.3338204     21010
  -35.1029986      33.5528026     -19.2005453     -34.9286984     12010
  -102.268273     -5969.16737      1377.67684     -9.66692035     03010
   48.7072606      15.0493605     -3.87116039      27.2572900     20110
  -364.872114     -121.666749      30.6967207     -263.147166     11110
  -634.634497      48.6003897     -10.5382265      170.486098     02110
  -6.44778251     -258.283869      67.4115772     -3.26321045     10210
   28.8204037      1321.44066     -327.971647      16.3116681     01210
  0.630126650      11.9662070     -3.16519709     0.445346731     00310
  -10.0162301    -0.607945706     0.152834391     -4.80167712     30001
   101.036987      6.16040971     -1.52422773      58.0387018     21001
  -160.792445     -11.4136580      2.83679690     -163.732336     12001
  -463.900456     -15.8982650      2.81048162     -52.0056395     03001
   1.52933876      33.3450440     -8.47073373     0.698479262     20101
  -11.1094544     -237.713288      59.1141087     -5.90108175     11101
   9.68329003      58.9916451     -16.0773551      8.39104546     02101
  -14.7475402     -3.92172674      1.00151343     -7.19412661     10201
   50.4963549      15.7244855     -3.95971057      29.1655311     01201
  0.627888189      19.8080488     -5.21238002     0.290968827     00301
  -322.495456     -103.877051      26.6697015     -181.057417     20020
   2385.37443      824.370131     -207.407007      1723.69567     11020
   4445.50008     -262.818670      53.3034925     -923.020003     02020
   87.9409076      3536.61204     -919.083750      44.5946998     10120
  -389.797442     -17547.9910      4322.89951     -220.675786     01120
  -17.3278416     -251.998751      66.4509412     -12.4682360     00220
  -21.2893209     -464.660392      117.681915     -9.71225744     20011
   151.585067      3243.54729     -802.641180      80.6953413     11011
  -126.931079     -400.876489      96.3141166     -111.485247     02011
   391.074786      108.715473     -27.7178274      191.361336     10111
  -1334.77762     -428.532149      107.601462     -770.699492     01111
  -25.7800720     -820.415329      214.956116     -11.9683884     00211
  -59.8553638     -3.50473307     0.874280326     -26.9767927     20002
   392.506017      22.9553568     -5.62459431      209.898140     11002
  -258.382138     -18.4945953      4.61812132     -255.654468     02002
   6.09874282      121.556019     -30.5175936      2.64502418     10102
  -22.0192216     -430.216462      106.922477     -10.9595545     01102
  -29.0029333     -7.26291426      1.83515127     -12.9491562     00202
  -399.146433     -16092.6370      4163.79162     -202.754270     10030
   1756.52267      77671.8490     -18993.5560      993.438364     01030
   183.919485      2347.90957     -617.203489      134.221483     00130
  -2594.13965     -753.922042      191.927008     -1273.02624     10021
   8848.94012      2920.66372     -731.498913      5099.87030     01021
   351.946864      11283.2556     -2943.49522      163.705355     00121
  -85.2552757     -1707.34448      428.005621     -36.9329618     10012
   301.288576      5906.27664     -1460.97639      150.498754     01012
   769.187508      202.379618     -51.0751547      344.591910     00112
  -161.511383     -9.18476030      2.27632854     -69.2705391     10003
   523.442247      29.5812096     -7.18898646      263.241277     01003
   8.18139673      153.844136     -38.1370949      3.39907252     00103
  -671.708678     -8174.79866      2142.14932     -495.382802     00040
  -1598.95787     -51608.3501      13403.9174     -745.223991     00031
  -5103.80967     -1411.14650      355.769570     -2293.63046     00022
  -114.947312     -2178.09779      540.012452     -47.6911140     00013
  -165.608623     -9.18945928      2.26561113     -68.0284242     00004
   1.47016581     0.910895324E-01-0.229660553E-01 0.742208570     50000
  -26.5819745     -1.64767256     0.409956312     -15.3707671     41000
   139.817828      8.64429096     -2.08540624      104.442341     32000
  -155.621193     -8.11755715      1.46009590     -244.623239     23000
   140.034168     -13.9090140      6.23820993      139.138475     14000
  -2915.18633     -82.7722115      11.0586066     -474.485497     05000
 -0.375749948     -6.28781683      1.60079385    -0.181339608     40100
   5.71143695      97.8305647     -24.3705251      3.10208402     31100
  -24.3562092     -371.129876      87.0728484     -16.4556713     22100
   25.0886267     -19.8683718      36.2696526      28.2252653     13100
  -35.9330425      200.449130     -126.225621     -20.3030755     04100
   5.57420849      1.50700426    -0.384916618      2.91357535     30200
  -68.2406731     -18.6308174      4.67533706     -41.6575378     21200
   203.414951      53.0597435     -12.6498565      169.316558     12200
  -356.750954     -15.7731683      1.66031405     -269.505823     03200
 -0.748590443     -18.3241556      4.74094211    -0.368779102     20300
   6.59282230      184.762636     -46.0637052      3.65559428     11300
  -11.4957008     -283.918525      63.0213521     -8.02191674     02300
   2.51544070      1.52125500    -0.395915696      1.50227231     10400
  -22.3983467     -8.57096062      2.17178624     -13.4165763     01400
 -0.815252708E-01 -1.79587339     0.476548074    -0.455423926E-01 00500
   5.21051743      87.4837199     -22.1911001      2.51276049     40010
  -78.0952878     -1354.00115      336.105867     -42.4558136     31010
   325.564478      5160.61165     -1208.36732      221.242213     22010
  -318.295302     -783.613815     -204.969317     -368.954348     13010
   488.190104      2092.85432      343.405921      270.438967     04010
  -147.718547     -41.5462351      10.5953716     -77.5176872     30110
   1800.12681      508.418876     -127.394423      1104.58206     21110
  -5373.10164     -1426.04435      339.714809     -4497.70168     12110
   9843.90497      436.803651     -51.1979124      7366.84589     03110
   30.4961550      751.627053     -194.019216      15.0530339     20210
  -265.816322     -7529.04428      1873.34573     -147.982807     11210
   453.632178      11590.1872     -2583.99937      320.734255     02210
  -137.607368     -84.3369921      21.9136080     -83.2323744     10310
   1216.63113      470.499251     -119.013617      739.343497     01310
   5.70114181      138.607293     -37.1150202      3.22169681     00410
   28.7170247      1.72344477    -0.431732414      13.7080425     40001
  -404.399458     -24.1428654      5.95768933     -219.223630     31001
   1530.74635      90.3829967     -21.5418882      1060.45011     22001
  -1074.60356     -48.2638220      7.48349064     -1553.66847     13001
   1729.81291     -4.54875177      14.0658905      1111.23338     04001
  -5.89393054     -89.9173998      22.7151098     -2.71817834     30101
   65.6700787      1013.34388     -251.065066      33.9301687     21101
  -179.822354     -2482.24550      582.680558     -115.401285     12101
   86.2794393     -12.3533577      127.960603      94.9458160     03101
   65.0696062      16.6119218     -4.21147884      31.4975288     20201
  -507.093978     -132.258456      32.9463261     -281.792999     11201
   776.861838      182.787855     -43.1663645      562.987877     02201
  -5.84634493     -124.485907      32.0384773     -2.72178739     10301
   24.7058405      594.553046     -146.794489      12.8863641     01301
   9.90616918      5.36992120     -1.38877012      5.49400959     00401
   978.994648      286.449878     -72.9386450      515.890888     30020
  -11902.2160     -3470.16561      868.173581     -7341.23210     21020
   35737.1020      9586.06885     -2281.09408      30067.1055     12020
  -68339.8869     -3046.74602      390.678071     -50923.9124     03020
  -413.566715     -10256.3221      2641.34174     -204.551968     20120
   3571.82934      102263.336     -25393.9476      1996.03746     11120
  -5978.66184     -158329.924      35457.8090     -4280.06649     02120
   2813.92206      1749.12871     -453.734922      1723.11901     10220
  -24749.5949     -9672.94078      2442.56113     -15246.5667     01220
  -158.365661     -4116.81433      1103.97583     -90.3481297     00320
   81.9249021      1256.74863     -316.635317      37.7507933     30011
  -899.120617     -14067.0017      3476.92563     -465.068941     21011
   2397.30753      34364.1504     -8061.36766      1549.70565     12011
  -1055.54635     -2729.59201     -889.189059     -1223.97706     03011
  -1724.67835     -459.212473      116.278217     -837.375301     20111
   13375.8726      3616.81700     -900.044900      7461.67552     11111
  -20390.5399     -4897.78350      1156.94167     -14893.0678     02111
   238.473425      5107.88631     -1312.12737      111.172343     10211
  -997.288635     -24267.9192      5987.18578     -521.689373     01211
  -539.200713     -297.844301      76.9203852     -301.113556     00311
   227.438906      13.2973190     -3.31209759      103.912564     30002
  -2354.87262     -136.405247      33.4172003     -1217.32826     21002
   5749.92608      326.411180     -76.8402233      3792.47957     12002
  -2134.29896     -80.2375344      9.93346844     -2744.45651     03002
  -35.0312425     -501.598535      125.665779     -15.5457169     20102
   256.091167      3690.18486     -908.587117      126.960503     11102
  -339.978218     -4384.05994      1020.25817     -210.537239     02102
   255.015738      62.5257909     -15.7353911      116.796815     10202
  -974.329356     -244.576474      60.5225529     -510.567119     01202
  -11.4331951     -219.819151      56.1101068     -5.08526331     00302
   1867.72257      46599.5622     -11973.0088      925.732894     20030
  -16000.8029     -463339.494      114828.993     -8974.36083     11030
   26321.4915      724898.514     -163103.831      19069.6307     02030
  -25508.6132     -16091.3901      4167.27225     -15811.5480     10130
   223583.284      88305.2701     -22260.0487      139547.651     01130
   2188.83291      59742.6282     -15997.6248      1259.63065     00230
   11435.0130      3175.17620     -803.004299      5569.92998     20021
  -88486.4412     -24739.9716      6149.80885     -49542.2101     11021
   134852.522      32810.9010     -7748.65841      99168.4390     02021
  -3238.18688     -69734.6680      17878.9638     -1511.82694     10121
   13419.2708      330154.398     -81379.7834      7038.59285     01121
   10971.1698      6181.20363     -1594.04457      6172.26591     00221
   488.309958      7043.39750     -1761.75363      216.502282     20012
  -3512.50224     -51413.9323      12644.3298     -1743.77108     11012
   4519.77622      60703.8762     -14167.0191      2825.30225     02012
  -6762.89260     -1734.06051      436.010003     -3105.96972     10112
   25720.8837      6708.41465     -1659.15227      13518.0872     01112
   467.118516      9032.96728     -2302.51864      207.998589     00212
   912.278111      52.1562170     -12.9265396      401.519799     20003
  -6206.84382     -350.405701      85.2960620     -3084.25521     11003
   7385.01300      404.627825     -94.0173420      4715.75507     02003
  -93.4550510     -1278.49089      317.698599     -40.0828361     10103
   338.268487      4657.36855     -1139.38784      161.585242     01103
   335.951919      79.8330589     -19.9493966      147.424773     00203
   86548.6328      55430.2428     -14331.0642      54309.1737     10040
  -757220.915     -302152.505      76036.8737     -478703.920     01040
  -15071.0604     -426906.818      114016.696     -8746.45628     00140
   14643.5767      317039.746     -81125.1730      6847.74086     10031
  -60212.1468     -1498206.90      368931.078     -31660.8707     01031
  -98954.5990     -56909.1416      14654.5763     -56114.3956     00131
   44874.1813      12030.7346     -3022.29569      20670.8364     10022
  -170418.094     -46030.3141      11377.1447     -89800.5338     01022
  -6352.96096     -123500.450      31433.3055     -2832.59595     00122
   1306.96916      18037.0788     -4479.84854      559.994702     10013
  -4650.51599     -65152.7896      15942.9554     -2224.87109     01013
  -8913.95045     -2221.96108      554.922345     -3922.63303     00113
   1850.66116      103.748393     -25.6033329      787.754002     10004
  -6239.69820     -344.373709      83.3591734     -2992.64974     01004
  -94.2909376     -1245.63679      307.023099     -39.2111891     00104
   41389.5514      1207191.99     -321408.271      24224.8317     00050
   334006.930      196209.107     -50450.4566      191034.326     00041
   28774.2205      562298.731     -142892.434      12848.9456     00032
   59186.2056      15473.2361     -3862.16412      26125.9021     00023
   1323.54800      17658.6741     -4355.13222      549.749750     00014
   1516.36571      83.5400491     -20.5418020      626.022316     00005
  -3.60152180    -0.220157138     0.553550641E-01 -1.78184387     60000
   78.8036582      4.82013624     -1.20040053      43.1490493     51000
  -561.616744     -34.5835768      8.48498281     -364.162107     42000
   1154.15031      75.4112602     -18.0345888      1143.78804     33000
   2300.75849      94.8510922     -20.6530956      42.8409676     24000
  -12520.8472     -481.921723      82.9665015     -7291.62621     15000
   29742.3378      916.246385     -121.040139      16533.1895     06000
   1.10914160      13.8015958     -3.50492516     0.531872820     50100
  -20.9585854     -266.455194      66.8341339     -11.0311613     41100
   124.715645      1521.13265     -374.280407      76.7976735     32100
  -199.326583     -1460.71671      345.223715     -185.850986     23100
  -338.864440     -7545.27414      1656.32702     -23.2584067     14100
   1092.15919      11042.3216     -1681.67566      505.615732     05100
  -16.3470371     -4.29384542      1.09204036     -8.21749694     40200
   254.167057      68.6927346     -17.2767889      143.233183     31200
  -1041.30911     -307.911888      76.0605895     -742.503751     22200
   24.3016698      209.847591     -50.2508643      827.737376     13200
   5936.90654      660.291024     -145.576219      2132.98803     04200
   3.03000491      50.0386326     -12.9035278      1.46771413     30300
  -37.3845411     -656.529820      166.255966     -19.9484189     21300
   112.732314      1808.40671     -444.795991      72.9919746     12300
  -11.7290952      803.821097     -174.926149     -43.5125579     03300
  -13.2103187     -7.04091228      1.81899586     -6.93659959     20400
   131.391977      66.5531630     -16.9537939      74.6578742     11400
  -118.749355     -109.740031      27.3544616     -112.625095     02400
   1.04087692      20.5136199     -5.45639824     0.526260549     10500
  -5.62300738     -155.941897      40.6502776     -2.95933741     01500
 -0.290363725E-01-0.643464700     0.172268842    -0.158221782E-01 00600
  -15.3792610     -192.295628      48.6682828     -7.37018578     50010
   287.485162      3690.83340     -922.656322      151.364460     41010
  -1684.06615     -20855.7490      5111.80072     -1039.74946     32010
   2597.85201      18620.3179     -4331.12391      2459.11527     23010
   4662.27237      112352.262     -25123.1086      429.249490     14010
  -14550.9723     -183124.236      31959.0110     -6794.56713     05010
   433.125189      118.317026     -30.0484320      218.194230     40110
  -6703.25350     -1878.01445      471.638982     -3786.21489     31110
   27256.2373      8311.39697     -2049.22669      19494.6030     22110
   421.174715     -5314.72620      1259.59724     -21086.5581     13110
  -161284.456     -18381.9627      4100.81321     -58767.0055     04110
  -123.113785     -2037.92324      524.616424     -59.7029847     30210
   1507.53205      26525.3877     -6705.04889      805.957019     21210
  -4490.09856     -71465.7785      17519.7750     -2919.18064     12210
   393.083094     -37553.1483      8495.06557      1687.94659     03210
   711.930580      386.802767     -99.8042988      375.218162     20310
  -7016.98279     -3624.02977      921.851728     -4005.08226     11310
   5986.11329      5851.70459     -1454.86779      5856.42689     02310
  -71.4274241     -1435.83982      380.984858     -36.2117616     10410
   383.046219      10669.4285     -2771.07299      202.301601     01410
   3.47739522      55.2137127     -14.7514892      1.94364114     00510
  -84.3009931     -5.03349574      1.25930870     -40.0957234     50001
   1505.34007      89.6595353     -22.1949792      789.677364     41001
  -8311.84525     -496.923763      121.026228     -5151.49636     32001
   11583.8155      744.359300     -176.704305      11328.4624     23001
   21386.8537      837.389754     -174.331801      2774.31227     14001
  -61039.2671     -2159.33057      354.980974     -30019.5557     05001
   21.7041438      253.594235     -63.9769953      10.0550317     40101
  -322.301084     -3811.19070      950.254574     -163.462053     31101
   1401.42282      15736.5996     -3857.54719      829.789997     22101
  -1384.68139     -8587.28397      2064.56798     -1263.04923     13101
  -1474.88203     -27935.8022      5863.65638     -243.874695     04101
  -253.581796     -64.1386815      16.2144069     -121.442244     30201
   2877.45115      750.875929     -187.708196      1533.44011     21201
  -7589.36067     -2176.69661      535.110808     -5052.85502     12201
  -1143.23889      637.225074     -156.720656      1992.75794     03201
   35.3915043      537.501869     -137.641284      16.4611566     20301
  -284.724301     -4530.98493      1139.94924     -145.101087     11301
   420.298711      6201.60654     -1538.84666      255.927266     02301
  -103.023725     -51.5080185      13.2218093     -51.2436193     10401
   481.198520      235.050582     -59.4890390      251.211664     01401
   4.06621543      70.9531808     -18.8338375      1.97363649     00501
  -2869.51780     -815.396843      206.786622     -1448.73049     40020
   44270.7801      12843.1303     -3220.65176      25056.6546     31020
  -179057.480     -56126.4389      13812.8790     -128331.872     22020
  -9180.62249      33573.1822     -7870.56900      134731.903     13020
   1101246.30      127899.986     -28822.9273      407147.263     04020
   1665.75167      27626.7090     -7099.59345      808.740209     30120
  -20256.8990     -356999.048      90080.6270     -10849.2367     21120
   59651.5637      941676.289     -230099.632      38924.2806     12120
  -4300.99474      573590.099     -133404.209     -21836.0301     03120
  -14360.8313     -7957.12300      2050.55220     -7595.43894     20220
   140386.140      73934.9619     -18780.2281      80439.3262     11220
  -112845.530     -116989.948      29014.1534     -113848.225     02220
   1955.40023      39937.2325     -10570.7445      993.917949     10320
  -10419.9131     -291808.395      75521.1520     -5519.39478     01320
  -149.990394     -1955.66223      521.437717     -85.1349562     00420
  -301.526417     -3545.70889      892.133737     -139.597609     40011
   4427.21936      52966.6249     -13172.2694      2246.39264     31011
  -18931.2150     -216305.625      52853.8939     -11243.6523     22011
   17996.7861      107613.148     -25316.6855      16697.5977     13011
   19938.8211      416794.471     -90503.1721      3618.18816     04011
   6720.89863      1771.09545     -447.212514      3224.98393     30111
  -75927.9053     -20568.6993      5135.76688     -40549.1709     21111
   198935.659      58823.9054     -14437.1386      132810.830     12111
   32668.0803     -15915.4259      3864.45874     -50540.0866     03111
  -1439.43665     -21919.7525      5604.94174     -670.149909     20211
   11492.2026      183482.620     -46094.2387      5867.17880     11211
  -16761.9297     -246089.001      60849.7718     -10248.4023     02211
   5551.20599      2833.00119     -726.408234      2768.58964     10311
  -25750.4014     -12824.2267      3241.47432     -13482.3326     01311
  -279.010819     -4949.46885      1310.73884     -135.674394     00411
  -831.708830     -48.6631941      12.1206524     -382.515414     40002
   11679.4405      680.137319     -167.472167      5913.39390     31002
  -47024.3660     -2742.66906      663.609358     -28131.9397     22002
   39072.8969      2494.24937     -588.958478      38485.7281     13002
   51860.3717      1970.74013     -394.202416      12010.7710     04002
   171.499909      1910.77714     -478.990173      77.0571517     30102
  -1883.46787     -21116.1204      5235.33060     -924.763238     21102
   5344.34362      56296.4006     -13752.1891      3061.09550     12102
  -2451.00446     -12001.3257      3045.78348     -2209.60321     03102
  -1488.61776     -365.471557      91.8620703     -684.879652     20202
   11051.7707      2805.02845     -697.273593      5633.30268     11202
  -14071.1694     -3971.99555      972.082366     -8877.74935     02202
   138.656817      1974.18351     -501.911878      62.2611189     10302
  -549.940755     -8169.94880      2043.71814     -269.452216     01302
  -198.706233     -95.4518627      24.3441324     -94.3421742     00402
  -7507.08659     -124717.495      31995.3173     -3649.23577     30030
   90725.4448      1601073.74     -403282.123      48673.5363     21030
  -264386.195     -4136290.19      1007434.63     -173083.775     12030
   15155.6481     -2889441.36      686285.448      94171.3641     03030
   128546.779      72663.1402     -18701.7938      68215.8877     20130
  -1247275.65     -669906.359      169924.907     -717026.346     11130
   941945.421      1039387.75     -257156.841      980257.170     02130
  -26707.5707     -552711.219      145931.952     -13609.7735     10230
   141526.550      3986128.13     -1028068.15      75155.9814     01230
   3190.58698      36686.9735     -9762.41484      1834.50543     00330
  -44548.1807     -12232.7516      3085.22182     -21420.1075     30021
   501867.865      140949.424     -35152.0527      268539.691     21021
  -1309312.69     -397712.728      97454.4254     -875752.181     12021
  -230986.575      98939.5174     -23697.3905      321881.914     03021
   19495.4836      297581.565     -75980.2483      9085.82210     20121
  -154576.550     -2475611.28      621003.671     -79052.0341     11121
   222991.476      3258110.30     -802890.081      136845.727     02121
  -111970.438     -58353.0506      14945.5865     -55995.7478     10221
   516362.901      262171.622     -66182.5514      271032.728     01221
   7637.44309      137234.956     -36256.9429      3721.20468     00321
  -2387.73870     -26806.9461      6707.00892     -1072.11185     30012
   25914.0176      294359.553     -72846.9048      12731.2330     21012
