! SHMS reconstruction optics
! made with Cosy from `shms-2011-26cm-monte_q2_p20
! order: 5
 ------------------------------------------------------------------------------
  0.196571577    -0.367383092E-01 0.208765363E-01 0.398552442     10000
  -1.01457057    -0.973931605E-01 0.553436425E-01  1.05656147     01000
   0.00000000     -2.22883951     0.575135235      0.00000000     00100
   0.00000000      17.2526653     -4.90058422      0.00000000     00010
  0.206486579    -0.564183346E-01 0.320597065E-01 0.612049533     00001
 -0.171895671     0.570609365E-01-0.344512276E-01-0.479501814     20000
  0.363960015    -0.112746561     0.849164879E-01  2.26518002     11000
   2.66611710    -0.947031191     0.484256172      10.8748231     02000
  0.127671616E-01  3.09436718    -0.609255086     0.203840439E-01 10100
 -0.658955209E-01  7.45743709     -1.42282286    -0.105208756     01100
  0.897383979E-03-0.215911751E-01-0.856007942E-02 0.197045277E-02 00200
 -0.105120471     -32.0077857      6.17124372    -0.162769088     10010
  0.542561330     -88.2782190      17.3990063     0.840104809     01010
  0.455040699E-01 0.302747943     0.153159986     0.105466861     00110
 -0.603247608     0.126447033    -0.819471890E-01 -1.03600069     10001
  0.456275098    -0.253849358     0.196240472      4.83291839     01001
  0.195372819E-01  4.73409553    -0.930702969     0.397521118E-01 00101
 -0.269683699     -1.09771643    -0.634869874    -0.112389066     00020
 -0.162640983     -50.2140722      9.75138050    -0.327305382     00011
 -0.521011579     0.642371870E-01-0.448404022E-01-0.460149580     00002
  0.491385402    -0.151614320     0.905060796E-01  1.24055306     30000
  -3.00908054      1.04574817    -0.626109330     -11.3611147     21000
   1.32390962     -1.01552844     0.560008580      22.9767193     12000
   6.08943594     -1.72883384      1.32143106      43.8035607     03000
 -0.471296123E-01 -7.93136969      1.54579098    -0.810368936E-01 20100
  0.186798216      30.8364335     -5.53192574     0.455854825     11100
  0.289129713      15.4859173     -3.98530424    -0.197631870     02100
  0.422239991     0.897291485E-01 0.643291232E-01  1.27416070     10200
  -2.19564600    -0.884639486E-01-0.115902097     -6.60987543     01200
  0.582843484E-04 -2.99542541     0.568666678     0.930567620E-04 00300
  0.413264099      83.5540221     -16.2758173     0.708782604     20010
  -1.52732380     -319.255422      57.7187366     -3.70742576     11010
  -3.10757704     -99.5205327      24.3396085     0.282367470     02010
  -8.60367727     -1.42176603     -1.32432949     -26.2213209     10110
   44.0227976     0.386242569      2.72610287      134.581678     01110
  0.247555824E-02  95.5697036     -18.2606546     0.397560318E-02 00210
   2.14069663    -0.480794931     0.299693810      3.83417297     20001
  -8.14168042      2.31053260     -1.42772331     -23.4329065     11001
  0.852585508     -1.81639855     0.921801445      39.0723897     02001
 -0.162800335     -18.3920857      3.61928204    -0.261197668     10101
  0.302993825      44.8419111     -8.25776302     0.609384210     01101
  0.610445199     0.271348370     0.468474665E-01  1.21339782     00201
   43.7660919      5.01765818      6.82253414      135.059656     10020
  -223.365099      5.94771573     -16.3185278     -690.589815     01020
 -0.418499192E-01 -1005.50027      192.414931    -0.656447922E-01 00120
   1.42985635      194.504568     -38.2250300      2.31848594     10011
  -2.51935984     -454.415843      83.3253063     -5.02365616     01011
  -12.4574699     -4.89772046    -0.991311795     -25.0573723     00111
   3.17422918    -0.525063498     0.349412398      4.32706316     10002
  -6.48010258      1.34866878    -0.868077355     -12.0914901     01002
 -0.140459244     -11.3064247      2.21624616    -0.200681254     00102
  0.144218599      3502.20431     -670.023782     0.223308835     00030
   63.2864084      21.3923242      5.23432415      129.544771     00021
   1.23578584      121.018796     -23.7842043      1.80829405     00012
   1.58343458    -0.196380095     0.143287344      1.82252132     00003
  -1.53592471     0.442501118    -0.265794985     -3.46371165     40000
   13.2761174     -4.16877037      2.51142212      38.3740387     31000
  -24.0395056      9.18460172     -5.52822932     -121.813771     22000
