! new fit to the SHMS extended target, global fit
!     xptar_offset    ytar_ffset     yptar_offset        delta_offset
!   -0.00158534706  0.000574492402  0.000336262798               0 00000
 ---------------------------------------------
      0.282340881   -0.0476067213    0.0311165317     0.667153399 10000
       -1.4304261    0.0988913978   -0.0422331781    -0.265706749 01000
    0.00455194494    -0.741969089     0.311981162  -0.00128007291 00100
    -0.0674375871      1.38530178     -1.99766577   -0.0894340584 00010
     -0.669263038     0.153672124    -0.107638337     -1.95819072 20000
       4.04781409    -0.783744349     0.523047391      14.5254699 11000
      -3.46672359     -1.45096835     0.108353951     -14.7683128 02000
     -0.108044505      4.08273593    -0.947548316     -0.67421213 10100
       0.48800148     -1.92726054     0.842443861       1.6860641 01100
     -0.025523503    -0.335561991    0.0470668941     -1.06471281 00200
     -0.229878057     -43.6228906      8.83391092     -0.38616236 10010
       1.01091591      24.7510131     -5.95241232      2.63422556 01010
      0.455798769      2.20354413    -0.114860653      1.82692667 00110
      -2.45896908    0.0473988148     -2.44205865      2.16863555 00020
        4.0061478     -1.03623252      0.31421148      6.95241266 30000
      -36.3277014      4.78630911     -1.56350287     -71.1762972 21000
       95.3164649     -6.97315859      1.39875179      218.345425 12000
      -63.1437512    -0.750166659      5.98987514     -149.452012 03000
       2.15730863     -28.1616775      5.32305662    -0.131920908 20100
      -12.5080063       187.65859     -34.5065279      31.2372059 11100
       13.0552993     -280.327586      48.7475883     -101.143387 02100
        1.1869241     -2.76726317     0.352962098      10.8913494 10200
      -5.74006716      6.72947359     0.509916007    -0.267031569 01200
     -0.231383406       1.8099086     -1.49007146    -0.170683087 00300
      -11.0856848      258.473169     -49.6156772     -16.8303129 20010
        59.456465     -1758.34527      331.494707     -67.3108236 11010
      -57.8171084      2733.87669     -504.776764      322.020556 02010
      -15.0192438      23.5879481     0.921670767     -182.352086 10110
        72.631086     -142.988494      16.6780454      240.872342 01110
       5.27775164      12.0099938      13.2045153     -5.74748554 00210
       67.9768056      2.72926333     -25.6594415      460.460434 10020
      -385.622617      381.182196     -48.4966264      -1535.5001 01020
      -47.3954249     -351.979314     -39.4660559      3.60570705 00120
       139.588873      1329.22913      102.227785      60.5709952 00030
      -14.5368241     -3.67501775     -1.14879779     -14.2826759 40000
       154.571338      56.0522529      16.5121766      186.845598 31000
      -435.347221     -290.652034     -84.5090726     -800.174844 22000
      -39.6668126      548.600479      228.270843      1214.13639 13000
       941.781324      49.6131691     -312.615504     -234.780373 04000
      -14.5349643      61.1974646     -11.6285072      15.1818966 30100
        133.17288     -557.577317      102.312168     -283.774899 21100
      -328.918209      905.495547      -131.76555      1247.01195 12100
       164.071036      971.095716     -236.678672     -1071.09369 03100
      -8.31677053     -12.3020557      7.42051576     -28.4648732 20200
       55.4084537     -37.1499143      5.56277125      76.3825835 11200
      -58.2679603      266.759504     -87.2299761     -33.7632646 02200
       3.07679096     -30.8918233      21.5840272      19.6121472 10300
      -4.71440537      -82.199077      4.39312142      -68.174109 01300
      0.638181047       34.967405     -9.68554826     -12.3156414 00400
       70.5644367     -634.332335      115.781466      116.743681 30010
      -549.174154      6031.15518      -1136.8874     -377.730634 21010
       997.616474     -11419.1837      2118.31621      450.226463 12010
      -268.770893     -5617.90711      1029.68156     -4506.44417 03010
        51.248034      224.489697     -135.412257      383.575703 20110
      -434.689951       46.508727      174.948914      402.183396 11110
        539.05439     -2520.46207      593.608717      559.259523 02110
      -54.3687592      517.625502      -295.72696     -250.265865 10210
       103.312868      977.324815     -20.7563515      1218.11896 01210
      0.842275556     -332.832928      77.4770869      129.262735 00310
       111.066226     -1458.75854      766.049784     -2128.65479 20020
      -297.144971      5267.13765     -1812.41631     -3113.60264 11020
       182.712838      1583.53598     -812.783097     -639.860161 02020
