run   tar ang  3/4PS ELPS PS1 PS2 BCM2Q FidEff 3/4Eff 4/4Eff S1Xoff S2Xoff
17257 C12 8.00 -1 129 -1 8 56.591 0.9899 0.993807 0.872305 0 0
17268 LD2 8.00 129 -1 8 -1 24.308 0.9806 0.991360 0.850844 0 0
17269 C12 8.00 129 -1 8 -1 26.818 0.9935 0.994607 0.880175 0 0
17270 C12 8.00 65 -1 7 -1 26.920 0.9937 0.994533 0.879396 0 0
17272 C12 8.00 -1 33 -1 6 25.865 0.9906 0.905705 0.198466 junk - 
17276 C12 8.00 -1 17 -1 5 29.604 0.9799 0.900673 0.012111 junk -
17277 C12 8.00 -1 17 -1 5 29.268 0.9907 0.914749 0.200313 1-7 1-6
17279 C12 8.00 33 -1 6 -1 25.981 0.9902 0.883509 0.194484 1-7 1-6
17282 LD2 8.00 -1 65 -1 7 28.027 0.9731 0.893658 0.197525 1-7 1-6
17284 LD2 8.00 -1 65 -1 7 17.387 0.9360 0.888160 0.004885 
17287 C12 8.00 -1 17 -1 5 29.264 0.9791 0.909674 0.012220 1-8 1-6
17288 C12 8.00 33 -1 6 -1 27.676 0.9806 0.869934 0.015100 1-8 1-6
17289 C12 8.00 33 -1 6 -1 11.529 0.9906 0.843173 0.297909 1-7 1-7
17290 C12 8.00 -1 17 -1 5 21.538 0.9908 0.881556 0.320583 1-7 1-7
17292 LD2 8.00 -1 65 -1 7 23.969 0.9737 0.855970 0.302002 1-7 1-7
17293 LD2 8.00 -1 65 -1 7 25.081 0.9348 0.806756 0.007427 1-8 1-7
17294 LD2 8.00 -1 65 -1 7 18.742 0.9388 0.886752 0.005058 1-8 1-7
17295 LD2 8.00 -1 33 -1 6 29.675 0.9697 0.810942 0.308678 1-7 1-8
17296 C12 8.00 -1 17 -1 5 25.603 0.9898 0.847688 0.345050 1-7 1-8
17297 C12 8.00 33 -1 6 -1 13.900 0.9895 0.796317 0.297700 1-7 1-8
17298 C12 8.00 33 -1 6 -1 28.383 0.9780 0.790090 0.023126 1-8 1-7
17299 C12 8.00 -1 17 -1 5 26.440 0.9799 0.844363 0.020383 1-8 1-7
17300 C12 8.50 65 -1 7 -1 21.187 0.9951 0.994352 0.876678 0 0
17301 C12 8.50 -1 33 -1 6 26.644 0.9957 0.996038 0.895112 0 0
17302 C12 8.50 -1 17 -1 5 24.642 0.9932 0.948041 0.285332 1-5 1-7
17303 C12 8.50 33 -1 6 -1 27.947 0.9926 0.917678 0.269683 1-5 1-7
17304 C12 8.50 17 -1 5 -1 25.575 0.9887 0.838408 0.142455 1-6 1-8
17305 C12 8.50 -1 9 -1 4 29.779 0.9893 0.894757 0.151597 1-6 1-8
17306 C12 8.50 -1 9 -1 4 16.313 0.9898 0.786141 0.268975 1-7 1-8
17307 C12 8.50 17 -1 5 -1 21.518 0.9900 0.711415 0.217795 1-7 1-8
17308 LD2 8.50 -1 33 -1 6 - - - - 1-7 1-8
17309 LD2 8.50 -1 33 -1 6 - - - - 1-7 1-8
17310 LD2 8.50 -1 65 -1 7 - - - - 1-5 1-7
17311 LD2 8.50 -1 65 -1 7 - - - - 0 0
17312 LD2 8.50 -1 128 -1 8 - - - - 0 0
